time,prcp,temp,tempmax,tempmin,hurs,rsds,gradient
2019-06-28,0.0,8.257355,12.841522,3.3285828,80.731316,361.8914,-0.005256259
2019-06-29,0.0,8.544678,14.520447,3.2054443,72.731064,349.8196,-0.005256259
2019-06-30,0.0,10.273651,14.962036,5.0039062,70.846306,351.24588,-0.005256259
2019-07-01,0.0,6.969879,12.185089,0.22970581,81.629745,311.31543,-0.004745626
2019-07-02,0.0,7.679291,14.741028,0.48550415,77.20148,319.46014,-0.004745626
2019-07-03,0.0,9.932709,17.232422,0.1965332,75.334175,343.32364,-0.004745626
2019-07-04,0.0,6.7877197,14.551544,-0.34921265,75.31902,328.48047,-0.004745626
2019-07-05,0.0,10.761353,17.873932,2.954895,65.99056,318.85303,-0.004745626
2019-07-06,0.0,10.564453,17.738708,2.6257935,65.577354,333.6204,-0.004745626
2019-07-07,0.0,10.435059,18.589172,2.9055176,64.30414,325.1941,-0.004745626
2019-07-08,0.0,11.411133,19.271393,2.3826904,66.58225,332.43744,-0.004745626
2019-07-09,0.0,12.106842,20.083466,3.47229,63.297344,329.75433,-0.004745626
2019-07-10,0.0,12.939117,20.4841,3.2729797,58.596085,333.01572,-0.004745626
2019-07-11,0.0,14.0191345,20.76474,7.4283752,55.33211,326.23465,-0.004745626
2019-07-12,0.0,13.897369,20.770172,6.916107,60.620777,308.08508,-0.004745626
2019-07-13,0.0,13.391968,21.568146,5.8063354,55.8506,332.04663,-0.004745626
2019-07-14,0.0,12.166534,19.551025,5.8059998,57.565506,321.7217,-0.004745626
2019-07-15,0.0,12.492096,18.95755,6.454468,59.13527,322.41043,-0.004745626
2019-07-16,0.0,12.909882,18.873749,6.177246,48.926178,331.67056,-0.004745626
2019-07-17,0.0,14.243195,20.17871,7.8361206,46.57375,332.94873,-0.004745626
2019-07-18,0.0,14.580475,21.048126,8.342285,47.73918,321.2595,-0.004745626
2019-07-19,0.0,11.923828,15.132904,7.639862,70.64241,216.47806,-0.004745626
2019-07-20,0.0,13.420349,19.970459,7.5332947,50.80863,322.80038,-0.004745626
2019-07-21,0.0,14.106598,22.635254,6.5817566,44.459236,334.0526,-0.004745626
2019-07-22,0.0,13.64566,20.824738,6.4930725,48.06986,335.41217,-0.004745626
2019-07-23,0.0,13.934906,21.671295,5.690277,56.41218,320.01672,-0.004745626
2019-07-24,0.0,14.849182,23.057007,7.017975,54.502575,311.79672,-0.004745626
2019-07-25,0.0,14.769196,20.612427,8.8078,60.037495,261.45383,-0.004745626
2019-07-26,0.0,14.881134,20.550964,10.906708,70.89349,258.36035,-0.004745626
2019-07-27,0.0,13.778473,17.387482,11.208588,84.54328,203.50409,-0.004745626
2019-07-28,0.0,15.231567,19.656403,11.219086,83.82109,256.98758,-0.004745626
2019-07-29,0.0,15.233826,21.387085,9.853241,78.20579,267.3754,-0.004745626
2019-07-30,0.0,15.146393,20.8107,10.091431,73.43292,273.42273,-0.004745626
2019-07-31,0.0,15.49115,20.973633,10.846558,70.53919,282.77042,-0.004745626
2019-08-01,0.0,10.803864,15.724182,4.5113525,79.190506,291.397,-0.004706767
2019-08-02,0.0,12.059631,18.008606,5.338196,74.91837,296.15826,-0.004706767
2019-08-03,0.0,12.567017,17.851196,6.5845947,72.77001,266.7478,-0.004706767
2019-08-04,0.0,12.978058,19.139282,6.3759766,65.077065,307.38647,-0.004706767
2019-08-05,0.0,14.060089,19.689117,8.40744,57.57067,319.9301,-0.004706767
2019-08-06,0.0,14.32135,19.910065,8.114502,54.64914,332.76013,-0.004706767
2019-08-07,0.0,14.4635315,20.420227,8.219971,53.256187,330.91223,-0.004706767
2019-08-08,0.0,15.315552,21.524689,8.551575,59.208572,311.11197,-0.004706767
2019-08-09,0.0,14.466797,19.888275,8.322266,73.99731,310.63687,-0.004706767
2019-08-10,0.0,12.5047,17.260132,8.92099,84.24406,218.35388,-0.004706767
2019-08-11,0.0,13.24765,18.557892,9.028076,83.82774,285.08615,-0.004706767
2019-08-12,0.0,14.23114,19.740723,9.166107,77.36587,288.14117,-0.004706767
2019-08-13,0.0,13.977112,19.642487,9.0781555,79.37549,266.53336,-0.004706767
2019-08-14,0.0,13.183746,18.281921,10.279297,83.98536,230.0631,-0.004706767
2019-08-15,0.0,13.217438,17.641785,9.164398,82.90303,260.1534,-0.004706767
2019-08-16,0.0,12.902618,17.165771,9.702179,77.2556,247.98871,-0.004706767
2019-08-17,0.0,9.948334,11.89093,6.083557,85.06938,170.24805,-0.004706767
2019-08-18,0.0,9.382172,13.964447,6.260681,83.170876,211.05923,-0.004706767
2019-08-19,0.0,7.79364,12.430115,2.8808289,79.29096,261.21173,-0.004706767
2019-08-20,0.0,6.9662476,12.4331665,0.84680176,74.14388,291.46124,-0.004706767
2019-08-21,0.0,6.8984375,13.502319,0.7533264,66.75407,298.22452,-0.004706767
2019-08-22,0.0,9.035278,15.707092,0.6419983,61.743237,305.88425,-0.004706767
2019-08-23,0.0,11.567902,17.88919,2.4200745,60.296562,305.90747,-0.004706767
2019-08-24,0.0,12.153137,18.468384,5.203888,64.54848,286.3209,-0.004706767
2019-08-25,0.0,12.299164,19.155396,4.969818,63.77802,280.38333,-0.004706767
2019-08-26,0.0,12.367004,18.483307,4.4737244,62.263794,279.6612,-0.004706767
2019-08-27,0.0,13.217987,19.467896,6.030121,65.16534,276.23157,-0.004706767
2019-08-28,0.0,13.1315,19.44748,8.511475,76.80297,262.41467,-0.004706767
2019-08-29,0.0,13.451813,18.582062,7.6434937,69.879036,257.26746,-0.004706767
2019-08-30,0.0,12.615204,18.586426,6.4313354,70.35011,240.98766,-0.004706767
2019-08-31,0.0,13.072571,19.012024,6.250519,72.47103,247.5061,-0.004706767
2019-09-01,0.0,11.401062,16.248566,7.2826233,75.980225,209.28334,-0.0053935824
2019-09-02,0.0,11.955902,17.40741,6.545868,70.43317,232.05896,-0.0053935824
2019-09-03,0.0,12.346466,18.229156,4.9546204,59.81212,247.03746,-0.0053935824
2019-09-04,0.0,12.026459,18.663666,3.53125,55.199867,268.08868,-0.0053935824
2019-09-05,0.0,11.984497,19.049164,3.9126282,46.941418,272.27057,-0.0053935824
2019-09-06,0.0,11.775543,18.952637,2.839447,40.48769,273.86136,-0.0053935824
2019-09-07,0.0,10.755554,16.499878,5.589508,48.318092,243.38277,-0.0053935824
2019-09-08,0.0,10.833679,17.480743,4.033203,37.72858,261.1978,-0.0053935824
2019-09-09,0.0,11.416534,18.474762,2.097046,28.455091,287.6146,-0.0053935824
2019-09-10,0.0,11.737366,19.636719,2.3970032,21.881296,285.00876,-0.0053935824
2019-09-11,0.0,11.173309,17.304688,5.4184875,21.761206,287.49582,-0.0053935824
2019-09-12,0.0,11.472595,18.55127,4.3695984,22.20497,273.83655,-0.0053935824
2019-09-13,0.0,10.423065,17.70816,3.7039185,28.43758,274.54095,-0.0053935824
2019-09-14,0.0,11.022003,17.805908,3.8962708,32.22105,248.86037,-0.0053935824
2019-09-15,0.0,10.284424,16.313568,4.5166626,30.183514,255.95052,-0.0053935824
2019-09-16,0.0,8.2838745,14.813782,2.5086975,35.040993,241.50635,-0.0053935824
2019-09-17,0.0,4.42099,10.832489,-2.4150696,62.774696,224.19931,-0.0053935824
2019-09-18,0.0,4.317444,11.06842,-3.713684,31.638144,283.438,-0.0053935824
2019-09-19,0.0,6.4355164,14.371521,-4.109955,23.422977,281.588,-0.0053935824
2019-09-20,0.0,6.8914185,12.935394,-2.2148132,31.761703,263.12982,-0.0053935824
2019-09-21,0.0,5.3479004,10.901154,-0.52456665,61.572838,188.09322,-0.0053935824
2019-09-22,0.0,6.0545654,12.360199,-1.2689514,41.805546,255.40909,-0.0053935824
